Instrument,Price Close,"Free Operating Cash Flow, Discrete",Total Debt,"PERCENT_CHG(TR.PriceClose(SDate=2023-08-31),lag=-10D)",Total Common Shares Outstanding,Cash and Equivalents,Net Income Reported - Actual,EBITDA - Mean,Interest Expense - Actual,Short Interest,"PERCENT_CHG(TR.Volume(SDate=2023-08-31),lag=-10D)",Current Assets,Noncurrent Asset,Current Liabilities,"ZAV(TR.PtoDPSMeanEst(SDate=2023-08-31,Period=FQ1))","ZAV(TR.PtoEPSMeanEst(SDate=2023-08-31,Period=FQ1))",Book Value Percentage of Market Capitalization (O/S),1 Month Total Return,Company Market Cap
UTMD.OQ,91.6,17166000.0,0,-1.49478438541779,3628000,75052000,,,,21782.0,228.896713615023,89919000.0,33955000.0,5960000.0,0.0,0.0,31.3298541411027,-6.84429980677315,332464490.0
UCTT.OQ,35.16,-52900000.0,513800000,8.88820068132548,44300000,358800000,40400000,37250000,33900000,879779.0,342.069449530087,1098800000.0,862100000.0,389200000.0,0.0,219.75,58.8709683793591,-7.71653543307087,1575294857.28
UFPT.OQ,175.71,3964000.0,55215000,12.0813931236844,7581690,4451000,41789000,19476000,2762000,228654.0,18.6439522998296,116346000.0,261846000.0,55961000.0,0.0,117.531772575251,26.5876316773298,-9.7372409010351,1342215656.52
IBB.OQ,128.71,,,2.5087607518318,,,,,,10178438.0,6.01711927102129,,,,0.0,0.0,,-0.464001237336609,7484486500.0
SNEX.OQ,93.88,-279000000.0,5209300000,-2.44206588382002,20303900,1108500000,207100000,,135500000,115574.0,289.023591087811,,,,0.0,41.1935059236507,63.6776998167461,2.03238778393651,1952212444.32
UFPI.OQ,104.35,598583000.0,278096000,5.77800304105422,61618190,559397000,692651000,214227000,13910000,1159061.0,2.55158118365631,2262113000.0,1409960000.0,611835000.0,0.0,48.9867005919715,52.4892765362042,1.83923705722073,6455613376.1
HTLF.OQ,30.64,318955000.0,697130000,-2.35818992989165,42467390,,204130000,,76420000,445907.0,14.7325842696629,,,,102.133333333333,27.8849654168183,82.0885619077719,-9.93497017426299,1306806509.52
GSBC.OQ,50.47,27289000.0,366481000,-3.4805890227577,12231290,,75948000,,27363000,138939.0,106.994011976048,,,,126.175,41.825851309803,73.3608911256319,-8.78366166636545,603281183.61
UTHR.OQ,224.36,663700000.0,800000000,-1.64825530422584,46032060,961200000,727300000,306106670,32400000,1889328.0,60.4112039833019,3380300000.0,2664200000.0,343200000.0,0.0,44.3845686669001,37.8452944107554,-7.56427158866181,10529807110.4
HSKA.OQ,119.99,-23927000.0,96031000,0,10829520,156618000,-19889000,,4191000,,NaN,265034000.0,320782000.0,39577000.0,0.0,0.0,62.7428205020771,NaN,1309541342.46
IBCP.OQ,19.09,70388000.0,79099000,-1.44553433144038,21063970,,63351000,,19447000,220657.0,4.80032523376177,,,,83.0,30.3015873015873,68.9841253929741,-6.57106019030433,399825102.53
TROW.OQ,112.23,1014400000.0,103000000,3.2759731296586,224310000,1755600000,1521800000,588662000,0,16989989.0,53.5235770862484,,,,91.9918032786886,61.1637628003553,36.2704597323738,-8.94856401103361,25172638960.77
TOWN.OQ,23.6,300469000.0,317224000,-2.84067517496911,72841380,,188987000,,56571000,668834.0,62.9349551925509,,,,98.3333333333333,46.2745098039216,83.5538655163741,-6.64556962025314,1767150866.4
WINA.OQ,380.53,24392300.0,73284600,6.20133404035611,3459670,13615600,,,,70598.0,13.390712570056,18103800.0,12351900.0,10595500.0,0.0,0.0,,4.92116232291775,1326398580.33
SYBT.OQ,45.8,57000000.0,168474000,-3.37552742616034,29259000,,92972000,,18269000,1706651.0,7.45233968804159,,,,156.138137933386,50.4499741140962,39.9976848521657,-4.20414139301401,1342977873.8
VRSN.OQ,207.79,803700000.0,1787900000,3.32156531251553,105300000,373600000,673800000,,75300000,761318.0,74.5576881560145,1038700000.0,694700000.0,1116900000.0,0.0,114.928097345133,,-1.49798530457451,21430165029.35
TCBK.OQ,34.34,123475000.0,365645000,-5.76289791437979,33331510,,125419000,,9529000,501987.0,31.4890377588307,,,,113.210035275113,38.8097148604817,61.5773046532155,-8.13269127875874,1142263267.3
IART.OQ,42.54,217384000.0,1443315000,-1.32219902574809,83654000,456661000,180550000,105134380,37677000,2833152.0,54.1701030630547,1161498000.0,2728260000.0,320906000.0,0.0,54.8775768208674,38.5320443092006,-6.44380910490431,3462918970.74
HUBG.OQ,78.04,239023000.0,343640000,-3.17617866004961,33221520,286642000,356948000,95065560,6632000,427928.0,133.192781847418,1056700000.0,1753381000.0,691770000.0,0.0,63.8364008179959,60.5587974409376,-13.4139576167758,2496519266.08
IAC.OQ,55.33,-222544000.0,2049760000,1.28134724510341,88872000,1417390000,-1170170000,81404090,110165000,1978137.0,48.8817744730169,2561135000.0,7832500000.0,1079988000.0,0.0,0.0,150.349265207955,-20.5028735632184,4749857520.1
JBSS.OQ,100.35,48989000.0,8059000,-2.19871290617466,11555850,,62857000,,2159000,111467.0,34.8392736520046,254430000.0,170857000.0,85688000.0,0.0,0.0,21.1850666344697,-6.04528435841881,1161095359.95
TRMB.OQ,54.79,348000000.0,1520000000,2.58378580790115,246900000,271000000,449700000,235039710,71100000,2701787.0,78.725166819553,1518200000.0,5750800000.0,1462100000.0,0.0,90.4125412541254,32.481258657702,1.84014869888471,13605544134.93
AUB.OQ,29.69,302343000.0,1716988000,-2.46386333771353,74712620,,222642000,,76174000,3392139.0,18.5188079353761,,,,97.344262295082,40.1216216216216,90.3709156412569,-6.30242707547379,2226889721.14
